Task ID,Task Name,Work Role,Category
390A,Task,General,General
391,Task,General,General
391A,Task,General,General
392,Task,General,General
393A,Task,General,General
393B,Task,General,General
394A,Task,General,General
395,Task,General,General
395A,Task,General,General
396,Task,General,General
397,Task,General,General
398,Task,General,General
400,Task,General,General
400A,Task,General,General
401,Task,General,General
402A,Task,General,General
408,Task,General,General
408A,Task,General,General
410A,Task,General,General
411,Task,General,General
411A,Task,General,General
412A,Task,General,General
413A,Task,General,General
414,Task,General,General
414A,Task,General,General
416,Task,General,General
416A,Task,General,General
417,Task,General,General
418,Task,General,General
419,Task,General,General
420,Task,General,General
421,Task,General,General
421A,Task,General,General
424B,Task,General,General
425,Task,General,General
426,Task,General,General
427,Task,General,General
429A,Task,General,General
431,Task,General,General
431A,Task,General,General
432,Task,General,General
433,Task,General,General
434A,Task,General,General
438A,Task,General,General
440,Task,General,General
445,Task,General,General
446,Task,General,General
447,Task,General,General
447A,Task,General,General
448,Task,General,General
451A,Task,General,General
452,Task,General,General
453,Task,General,General
454,Task,General,General
456A,Task,General,General
457,Task,General,General
458,Task,General,General
459A,Task,General,General
461,Task,General,General
462,Task,General,General
463,Task,General,General
464,Task,General,General
465,Task,General,General
466,Task,General,General
466A,Task,General,General
467,Task,General,General
470,Task,General,General
471,Task,General,General
472,Task,General,General
475,Task,General,General
476,Task,General,General
477,Task,General,General
478,Task,General,General
479A,Task,General,General
480,Task,General,General
481A,Task,General,General
482,Task,General,General
482A,Task,General,General
483,Task,General,General
483A,Task,General,General
484,Task,General,General
485A,Task,General,General
487,Task,General,General
490A,Task,General,General
490B,Task,General,General
491A,Task,General,General
492A,Task,General,General
492B,Task,General,General
494,Task,General,General
496A,Task,General,General
499,Task,General,General
500,Task,General,General
500A,Task,General,General
500B,Task,General,General
501,Task,General,General
502A,Task,General,General
502B,Task,General,General
503A,Task,General,General
504A,Task,General,General
504B,Task,General,General
505A,Task,General,General
506,Task,General,General
507A,Task,General,General
508,Task,General,General
511B,Task,General,General
512,Task,General,General
513,Task,General,General
515A,Task,General,General
515B,Task,General,General
515C,Task,General,General
516,Task,General,General
516A,Task,General,General
517,Task,General,General
518,Task,General,General
518A,Task,General,General
520,Task,General,General
520A,Task,General,General
520B,Task,General,General
521A,Task,General,General
522,Task,General,General
524,Task,General,General
525A,Task,General,General
527,Task,General,General
528A,Task,General,General
529,Task,General,General
530,Task,General,General
530A,Task,General,General
531,Task,General,General
534,Task,General,General
537,Task,General,General
537A,Task,General,General
538,Task,General,General
539,Task,General,General
539A,Task,General,General
541,Task,General,General
542,Task,General,General
542A,Task,General,General
542B,Task,General,General
543,Task,General,General
547,Task,General,General
548,Task,General,General
550,Task,General,General
551A,Task,General,General
554A,Task,General,General
555,Task,General,General
559A,Task,General,General
559B,Task,General,General
559C,Task,General,General
561,Task,General,General
564A,Task,General,General
565A,Task,General,General
566,Task,General,General
568,Task,General,General
569A,Task,General,General
571,Task,General,General
572,Task,General,General
573,Task,General,General
574A,Task,General,General
576,Task,General,General
578,Task,General,General
579,Task,General,General
584,Task,General,General
585,Task,General,General
590,Task,General,General
593A,Task,General,General
594,Task,General,General
596,Task,General,General
597,Task,General,General
598,Task,General,General
598A,Task,General,General
599,Task,General,General
600,Task,General,General
602,Task,General,General
606,Task,General,General
607,Task,General,General
612A,Task,General,General
613,Task,General,General
616A,Task,General,General
618A,Task,General,General
620A,Task,General,General
623,Task,General,General
626,Task,General,General
626A,Task,General,General
628,Task,General,General
629A,Task,General,General
629B,Task,General,General
630,Task,General,General
631,Task,General,General
632,Task,General,General
633,Task,General,General
634,Task,General,General
635,Task,General,General
636,Task,General,General
637,Task,General,General
639A,Task,General,General
640,Task,General,General
641,Task,General,General
643A,Task,General,General
644,Task,General,General
645,Task,General,General
646A,Task,General,General
648,Task,General,General
649,Task,General,General
653A,Task,General,General
653B,Task,General,General
654A,Task,General,General
654B,Task,General,General
655A,Task,General,General
656,Task,General,General
659,Task,General,General
659A,Task,General,General
660,Task,General,General
661A,Task,General,General
662,Task,General,General
664A,Task,General,General
665A,Task,General,General
666,Task,General,General
667,Task,General,General
669,Task,General,General
670A,Task,General,General
671,Task,General,General
673,Task,General,General
674,Task,General,General
675,Task,General,General
676,Task,General,General
677,Task,General,General
679,Task,General,General
680,Task,General,General
680A,Task,General,General
680B,Task,General,General
683,Task,General,General
684,Task,General,General
685,Task,General,General
685A,Task,General,General
688,Task,General,General
690,Task,General,General
691,Task,General,General
692,Task,General,General
694,Task,General,General
695,Task,General,General
695A,Task,General,General
696,Task,General,General
696A,Task,General,General
696B,Task,General,General
696C,Task,General,General
698A,Task,General,General
700A,Task,General,General
701A,Task,General,General
702,Task,General,General
705,Task,General,General
706,Task,General,General
707,Task,General,General
708A,Task,General,General
709A,Task,General,General
710,Task,General,General
711,Task,General,General
712,Task,General,General
713A,Task,General,General
714A,Task,General,General
716A,Task,General,General
717A,Task,General,General
718,Task,General,General
720A,Task,General,General
721,Task,General,General
723,Task,General,General
724A,Task,General,General
726,Task,General,General
728A,Task,General,General
729A,Task,General,General
730,Task,General,General
731,Task,General,General
731A,Task,General,General
733,Task,General,General
736,Task,General,General
737B,Task,General,General
738,Task,General,General
740,Task,General,General
741A,Task,General,General
743,Task,General,General
745,Task,General,General
748A,Task,General,General
749,Task,General,General
750,Task,General,General
752,Task,General,General
753,Task,General,General
754,Task,General,General
755,Task,General,General
756,Task,General,General
757A,Task,General,General
758,Task,General,General
759,Task,General,General
760,Task,General,General
761A,Task,General,General
762,Task,General,General
763A,Task,General,General
763B,Task,General,General
764,Task,General,General
764A,Task,General,General
765,Task,General,General
765A,Task,General,General
765B,Task,General,General
766A,Task,General,General
767,Task,General,General
768,Task,General,General
769,Task,General,General
770,Task,General,General
771,Task,General,General
772,Task,General,General
775,Task,General,General
777,Task,General,General
778A,Task,General,General
779A,Task,General,General
780A,Task,General,General
781,Task,General,General
782,Task,General,General
784,Task,General,General
785,Task,General,General
785A,Task,General,General
786,Task,General,General
787A,Task,General,General
788A,Task,General,General
789,Task,General,General
790,Task,General,General
792,Task,General,General
794A,Task,General,General
795,Task,General,General
796,Task,General,General
797,Task,General,General
798,Task,General,General
800,Task,General,General
801,Task,General,General
801A,Task,General,General
801B,Task,General,General
802,Task,General,General
803,Task,General,General
806,Task,General,General
806A,Task,General,General
807,Task,General,General
808,Task,General,General
808A,Task,General,General
808B,Task,General,General
809,Task,General,General
810,Task,General,General
811,Task,General,General
812A,Task,General,General
813,Task,General,General
814,Task,General,General
815,Task,General,General
816,Task,General,General
817,Task,General,General
818,Task,General,General
823,Task,General,General
824,Task,General,General
825,Task,General,General
826,Task,General,General
827,Task,General,General
828,Task,General,General
830A,Task,General,General
834,Task,General,General
835A,Task,General,General
836,Task,General,General
836A,Task,General,General
836B,Task,General,General
838,Task,General,General
839A,Task,General,General
840,Task,General,General
840A,Task,General,General
840B,Task,General,General
841,Task,General,General
841A,Task,General,General
842A,Task,General,General
843,Task,General,General
845A,Task,General,General
847,Task,General,General
848,Task,General,General
850,Task,General,General
852,Task,General,General
854A,Task,General,General
855,Task,General,General
856,Task,General,General
856A,Task,General,General
857,Task,General,General
858A,Task,General,General
858B,Task,General,General
860A,Task,General,General
861,Task,General,General
862,Task,General,General
863,Task,General,General
863A,Task,General,General
864A,Task,General,General
865,Task,General,General
866,Task,General,General
868,Task,General,General
868A,Task,General,General
869,Task,General,General
870,Task,General,General
871,Task,General,General
874,Task,General,General
876,Task,General,General
877A,Task,General,General
878,Task,General,General
879,Task,General,General
880A,Task,General,General
880B,Task,General,General
882,Task,General,General
882A,Task,General,General
885,Task,General,General
919,Task,General,General
925,Task,General,General
927A,Task,General,General
934,Task,General,General
936,Task,General,General
938A,Task,General,General
939,Task,General,General
940A,Task,General,General
940B,Task,General,General
941A,Task,General,General
944,Task,General,General
947,Task,General,General
948,Task,General,General
949,Task,General,General
951,Task,General,General
955A,Task,General,General
955B,Task,General,General
956,Task,General,General
958,Task,General,General
959,Task,General,General
960,Task,General,General
961,Task,General,General
962,Task,General,General
963,Task,General,General
963A,Task,General,General
964,Task,General,General
969,Task,General,General
970A,Task,General,General
971,Task,General,General
972A,Task,General,General
994,Task,General,General
994A,Task,General,General
996A,Task,General,General
996B,Task,General,General
997,Task,General,General
998,Task,General,General
998A,Task,General,General
999,Task,General,General
999A,Task,General,General
999B,Task,General,General
999C,Task,General,General
1000,Task,General,General
1000A,Task,General,General
1000B,Task,General,General
1003,Task,General,General
1006,Task,General,General
1016,Task,General,General
1017,Task,General,General
1017A,Task,General,General
1018,Task,General,General
1027A,Task,General,General
1030,Task,General,General
1031,Task,General,General
1032,Task,General,General
1035,Task,General,General
1041,Task,General,General
1076,Task,General,General
1077,Task,General,General
1078A,Task,General,General
1079A,Task,General,General
1080A,Task,General,General
1081,Task,General,General
1082,Task,General,General
1083,Task,General,General
1084,Task,General,General
1085,Task,General,General
1103,Task,General,General
1104,Task,General,General
1105,Task,General,General
1107,Task,General,General
1108,Task,General,General
1109,Task,General,General
1110,Task,General,General
1111,Task,General,General
1112,Task,General,General
1113,Task,General,General
1143A,Task,General,General
1144,Task,General,General
1146,Task,General,General
1147A,Task,General,General
1148,Task,General,General
1148A,Task,General,General
1148B,Task,General,General
1149A,Task,General,General
1150A,Task,General,General
1151,Task,General,General
1151A,Task,General,General
1152,Task,General,General
1152A,Task,General,General
1153A,Task,General,General
1154,Task,General,General
1155,Task,General,General
2001,Task,General,General
2005,Task,General,General
2009,Task,General,General
2014,Task,General,General
2015,Task,General,General
2016,Task,General,General
2017,Task,General,General
2020,Task,General,General
2020A,Task,General,General
2021,Task,General,General
2028,Task,General,General
2029A,Task,General,General
2032,Task,General,General
2033,Task,General,General
2035,Task,General,General
2040,Task,General,General
2043,Task,General,General
2045,Task,General,General
2046,Task,General,General
2051,Task,General,General
2052,Task,General,General
2053,Task,General,General
2054,Task,General,General
2058,Task,General,General
2059,Task,General,General
2060,Task,General,General
2060A,Task,General,General
2061,Task,General,General
2062,Task,General,General
2063,Task,General,General
