task_id,task_name,nist_sp_id,task_description,work_role,category
390A,Task,T0419,"Acquire and maintain a working knowledge of constitutional issues relevant laws, regulations, policies, agreements, standards, procedures, or other issuances.",General,Task
391,Task,T0001,"Acquire and manage the necessary resources, including leadership support, financial resources, and key security personnel, to support information technology (IT) security goals and objectives and reduce overall organizational risk.",General,Task
392,Task,T0002,"Acquire necessary resources, including financial resources, to conduct an effective enterprise continuity of operations program.",General,Task
393A,Task,T0420,"Administer test bed(s), and test and evaluate applications, hardware infrastructure, rules/signatures, access controls, and configurations of platforms managed by service provider(s).",General,Task
393B,Task,T0420,"Coordinate with system administrators to create cyber defense tools, test bed(s), and test and evaluate applications, hardware infrastructure, rules/signatures, access controls, and configurations of platforms managed by service provider(s).",General,Task
394A,Task,T0421,"Manage the indexing/cataloguing, storage, and access of explicit organizational knowledge (e.g., hard copy documents, digital files).",General,Task
395,Task,T0003,"Advise senior management (e.g., CIO) on risk levels and security posture.",General,Task
396,Task,T0004,"Advise senior management (e.g., CIO) on cost/benefit analysis of information security programs, policies, processes, systems, and elements.",General,Task
397,Task,T0005,Advise appropriate senior leadership or Authorizing Official of changes affecting the organization's cybersecurity posture.,General,Task
398,Task,T0006,Advocate organization's official position in legal and legislative proceedings.,General,Task
400,Task,T0007,Analyze and define data requirements and specifications.,General,Task
400A,Task,T0422,"Implement data management standards, requirements, and specifications.",General,Task
401,Task,T0008,Analyze and plan for anticipated changes in data capacity requirements.,General,Task
402A,Task,T0423,Analyze computer-generated threats for counter intelligence or criminal activity.,General,Task
408,Task,T0009,"Analyze information to determine, recommend, and plan the development of a new application or modification of an existing application.",General,Task
408A,Task,T0424,Analyze and provide information to stakeholders that will support the development of security a application or modification of an existing security application.,General,Task
410A,Task,T0425,Analyze organizational cyber policy.,General,Task
411,Task,T0010,Analyze organization's cyber defense policies and configurations and evaluate compliance with regulations and organizational directives.,General,Task
412A,Task,T0426,"Analyze the results of software, hardware, or interoperability testing.",General,Task
413A,Task,T0427,Analyze user needs and requirements to plan architecture.,General,Task
414,Task,T0011,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,General,Task
414A,Task,T0428,Analyze security needs and software requirements to determine feasibility of design within time and cost constraints and security mandates.,General,Task
416,Task,T0012,"Analyze design constraints, analyze trade-offs and detailed system and security design, and consider lifecycle support.",General,Task
416A,Task,T0012,"Analyze design constraints, analyze trade-offs and security design, and consider lifecycle support.",General,Task
417,Task,T0013,"Apply coding and testing standards, apply security testing tools including ""fuzzing"" static-analysis code scanning tools, and conduct code reviews.",General,Task
418,Task,T0014,Apply secure code documentation.,General,Task
419,Task,T0015,"Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications.",General,Task
420,Task,T0016,Apply security policies to meet security objectives of the system.,General,Task
